BR002|R002|B002|1710003600|1711213200
BR003|R003|B003|1710007200|1711216800
BR004|R004|B004|1710010800|1711220400
BR005|R005|B005|1710014400|1711224000
BR006|R006|B006|1710018000|1711227600
BR007|R007|B007|1710021600|1711231200
BR008|R008|B008|1710025200|1711234800
BR009|R009|B009|1710028800|1711238400
BR010|R010|B010|1710032400|1711242000
BR011|R011|B011|1710036000|1711245600
BR012|R012|B012|1710039600|1711249200
BR013|R013|B013|1710043200|1711252800
BR014|R014|B014|1710046800|1711256400
BR015|R015|B015|1710050400|1711260000
BR016|R016|B016|1710054000|1711263600
BR017|R017|B017|1710057600|1711267200
BR018|R018|B018|1710061200|1711270800
BR019|R019|B019|1710064800|1711274400
BR020|R020|B020|1710068400|1711278000
BR021|R021|B021|1710072000|1711281600
BR022|R022|B022|1710075600|1711285200
BR023|R023|B023|1710079200|1711288800
BR024|R024|B024|1710082800|1711292400
BR025|R025|B025|1710086400|1711296000
BR026|R026|B026|1710090000|1711299600
BR027|R027|B027|1710093600|1711303200
BR028|R028|B028|1710097200|1711306800
BR029|R029|B029|1710100800|1711310400
BR030|R030|B030|1710104400|1711314000
BR031|R031|B031|1710108000|1711317600
BR032|R032|B032|1710111600|1711321200
BR033|R033|B033|1710115200|1711324800
BR034|R034|B034|1710118800|1711328400
BR035|R035|B035|1710122400|1711332000
